Complexity          Amount of 1's
      1332                 673
      1331                 660
      1332                 689
      1331                 688
      1331                 676
      1332                 651
      1332                 649
      1327                 646
      1331                 644
      1331                 616
      1332                 663
      1330                 633
      1331                 636
      1327                 632
      1332                 687
      1332                 659
      1329                 668
      1332                 679
      1329                 666
      1330                 703
      1330                 659
      1332                 667
      1330                 630
      1331                 650
      1331                 664
      1331                 638
      1332                 689
      1328                 632
      1332                 661
      1330                 680
      1330                 660
      1330                 609
      1330                 649
      1328                 678
      1330                 645
      1324                 645
      1332                 703
      1332                 657
      1330                 666
      1332                 665
      1332                 677
      1332                 661
      1330                 680
      1332                 697
      1331                 646
      1330                 665
      1328                 657
      1327                 664
      1332                 685
      1332                 685
      1330                 650
      1331                 694
      1330                 662
      1332                 645
      1330                 656
      1328                 684
      1332                 683
      1332                 657
      1329                 644
      1332                 653
      1332                 657
      1325                 662
      1330                 688
      1332                 693
      1330                 685
      1330                 675
      1326                 634
      1332                 663
      1328                 656
      1329                 684
      1332                 657
      1328                 690
      1330                 674
      1332                 655
      1332                 657
      1328                 648
      1332                 647
      1328                 678
      1331                 694
      1331                 728
      1332                 683
      1320                 695
      1328                 686
      1331                 650
      1332                 657
      1326                 678
      1332                 633
      1330                 676
      1331                 684
      1330                 682
      1332                 679
      1330                 678
      1331                 666
      1326                 634
      1328                 668
      1332                 665
      1331                 700
      1332                 657
      1332                 679
      1330                 674
