Complexity          Amount of 1's
        22                  15
        22                  11
        21                   8
        20                   8
        20                   8
        21                  10
        22                  11
        22                  13
        21                  10
        22                  13
        22                   9
        21                   8
        20                  12
        22                  13
        20                  10
        22                  11
        22                  13
        22                  11
        21                  10
        21                  10
        22                   9
        22                  11
        22                  15
        21                  12
        21                  14
        20                  10
        21                   6
        20                  16
        22                  11
        22                  13
        22                  13
        20                  12
        20                  12
        22                  11
        22                  13
        20                  10
        22                   9
        22                   9
        20                  10
        21                  12
        22                  11
        20                  14
        21                   8
        20                  12
        22                   9
        22                  13
        22                   7
        22                  11
        22                  11
        22                   9
        22                  11
        21                  12
        22                   9
        21                  12
        22                  13
        22                  13
        20                  14
        20                  10
        22                  11
        22                  15
        21                   8
        22                   9
        22                  13
        22                  13
        21                  12
        20                  14
        22                   9
        21                  10
        21                  12
        22                  13
        22                   9
        22                   9
        22                  11
        22                  13
        22                  15
        22                  11
        20                  12
        22                   9
        21                  10
        20                   8
        22                  11
        20                  10
        20                   8
        22                  13
        22                   7
        22                   9
        20                  14
        21                  10
        21                  10
        22                  13
        22                  13
        21                  10
        21                  10
        20                  10
        22                  11
        22                  11
        22                   7
        21                   8
        20                  10
        22                  15
