Complexity			Amount of 1's
       19				6
       19				8
       20				11
       20				11
       18				10
       20				13
       20				11
       19				10
       20				7
       18				16
       16				10
       16				8
       20				7
       20				9
       19				10
       20				9
       18				10
       18				12
       15				10
       18				10
       14				8
       20				9
       20				9
       20				5
       19				10
       20				7
       19				10
       19				12
       20				7
       19				10
       20				11
       20				7
       20				7
       20				13
       20				11
       16				10
       20				13
       19				12
       20				13
       19				10
       20				13
       20				7
       20				9
       15				12
       18				8
       19				10
       19				12
       17				8
       18				10
       20				7
       18				6
       19				10
       19				10
       19				12
       17				8
       16				12
       20				9
       19				10
       19				12
       19				8
       20				9
       20				5
       20				9
       20				9
       20				7
       20				15
       19				6
       19				14
       19				4
       20				9
       20				9
       20				9
       19				12
       20				9
       20				9
       20				15
       20				11
       20				13
       19				8
       19				12
       20				13
       18				6
       18				12
       20				11
       20				7
       20				11
       19				4
       20				15
       18				8
       18				12
       20				11
       19				10
       20				9
       20				13
       20				11
       17				8
       19				12
       20				9
       20				9
       19				12
