Complexity          Amount of 1's
        40                  22
        42                  23
        39                  23
        40                  24
        40                  20
        41                  24
        33                  24
        34                  24
        41                  24
        42                  21
        42                  17
        40                  16
        39                  20
        40                  18
        40                  26
        40                  19
        41                  22
        36                  24
        41                  24
        42                  27
        36                  24
        39                  21
        38                  20
        40                  22
        40                  24
        41                  24
        36                  16
        38                   8
        37                  10
        40                  26
        40                  20
        42                  23
        41                  18
        41                  22
        37                  24
        37                  20
        34                  22
        41                  20
        38                  28
        38                  23
        41                  18
        38                  20
        41                  20
        40                  18
        40                  16
        42                  23
        37                  19
        42                  19
        42                  19
        42                  17
        41                  20
        39                  17
        38                  26
        39                  21
        41                  22
        36                  24
        42                  23
        40                  28
        40                  20
        40                  20
        29                  16
        42                  23
        42                  25
        38                  21
        38                  21
        40                  21
        37                  15
        33                  22
        41                  18
        38                  24
        39                  20
        40                  28
        42                  25
        39                  15
        42                  17
        40                  23
        41                  24
        42                  21
        41                  22
        40                  22
        40                  17
        37                  18
        36                  21
        35                  18
        37                  25
        33                  18
        42                  23
        40                  17
        35                  25
        42                  21
        40                  22
        42                  21
        41                  22
        42                  23
        38                  22
        39                  15
        38                  14
        33                  18
        34                  19
        39                  17
